2023-06-16 08:47:42,657 INFO    HandlerThread:32784 [system_monitor.py:probe():214] Publishing system info
2023-06-16 08:47:42,657 DEBUG   HandlerThread:32784 [system_info.py:_save_pip():51] Saving list of pip packages installed into the current environment
2023-06-16 08:47:42,657 DEBUG   HandlerThread:32784 [system_info.py:_save_pip():67] Saving pip packages done
2023-06-16 08:47:42,657 INFO    HandlerThread:32784 [system_monitor.py:probe():216] Finished publishing system info
2023-06-16 08:47:42,657 DEBUG   SenderThread:32784 [sender.py:send():375] send: files
2023-06-16 08:47:42,657 INFO    SenderThread:32784 [sender.py:_save_file():1378] saving file wandb-metadata.json with policy now
2023-06-16 08:47:42,657 DEBUG   HandlerThread:32784 [handler.py:handle_request():144] handle_request: stop_status
2023-06-16 08:47:42,657 DEBUG   SenderThread:32784 [sender.py:send_request():402] send_request: stop_status
2023-06-16 08:47:43,042 DEBUG   SenderThread:32784 [sender.py:send():375] send: telemetry
2023-06-16 08:47:43,042 DEBUG   SenderThread:32784 [sender.py:send():375] send: config
2023-06-16 08:47:43,042 DEBUG   HandlerThread:32784 [handler.py:handle_request():144] handle_request: log_artifact
2023-06-16 08:47:43,042 DEBUG   SenderThread:32784 [sender.py:send_request():402] send_request: log_artifact
2023-06-16 08:47:43,058 DEBUG   HandlerThread:32784 [handler.py:handle_request():144] handle_request: partial_history
2023-06-16 08:47:43,074 INFO    Thread-198:32784 [dir_watcher.py:_on_file_created():278] file/dir created: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230616_084741-1g55ubon\files\media\table\episode_rewards_table_0_a9d73174909e63fe55fb.table.json
2023-06-16 08:47:43,074 INFO    Thread-198:32784 [dir_watcher.py:_on_file_created():278] file/dir created: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230616_084741-1g55ubon\files\wandb-summary.json
2023-06-16 08:47:43,074 INFO    Thread-198:32784 [dir_watcher.py:_on_file_created():278] file/dir created: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230616_084741-1g55ubon\files\output.log
2023-06-16 08:47:43,074 INFO    Thread-198:32784 [dir_watcher.py:_on_file_created():278] file/dir created: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230616_084741-1g55ubon\files\wandb-metadata.json
2023-06-16 08:47:43,074 INFO    Thread-198:32784 [dir_watcher.py:_on_file_created():278] file/dir created: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230616_084741-1g55ubon\files\requirements.txt
2023-06-16 08:47:43,074 INFO    Thread-198:32784 [dir_watcher.py:_on_file_created():278] file/dir created: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230616_084741-1g55ubon\files\media\table
2023-06-16 08:47:43,074 INFO    Thread-198:32784 [dir_watcher.py:_on_file_created():278] file/dir created: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230616_084741-1g55ubon\files\media
2023-06-16 08:47:43,796 INFO    wandb-upload_0:32784 [upload_job.py:push():137] Uploaded file C:\Users\EMILWC~1\AppData\Local\Temp\tmp85yd_h96wandb\5t0uvnmm-wandb-metadata.json
2023-06-16 08:47:44,077 DEBUG   HandlerThread:32784 [handler.py:handle_request():144] handle_request: poll_exit
2023-06-16 08:47:44,952 INFO    wandb-upload_0:32784 [upload_job.py:push():95] Uploaded file C:\Users\Emil WC\AppData\Local\wandb\wandb\artifacts\staging\tmpxez827ta
2023-06-16 08:47:45,140 INFO    Thread-198:32784 [dir_watcher.py:_on_file_modified():295] file/dir modified: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230616_084741-1g55ubon\files\output.log
2023-06-16 08:47:46,015 INFO    SenderThread:32784 [sender.py:send_request_log_artifact():1438] logged artifact run-1g55ubon-episode_rewards_table - {'id': 'QXJ0aWZhY3Q6NDg5NDE5MzA1', 'digest': 'df47cd59c3e2301e1a9a78bb9cf281ee', 'state': 'PENDING', 'aliases': [], 'artifactSequence': {'id': 'QXJ0aWZhY3RDb2xsZWN0aW9uOjc3MTg0NjE4', 'latestArtifact': None}, 'version': 'latest'}
2023-06-16 08:47:46,015 DEBUG   SenderThread:32784 [sender.py:send():375] send: files
2023-06-16 08:47:46,015 INFO    SenderThread:32784 [sender.py:_save_file():1378] saving file media\table\episode_rewards_table_0_a9d73174909e63fe55fb.table.json with policy now
2023-06-16 08:47:46,015 DEBUG   SenderThread:32784 [sender.py:send():375] send: history
2023-06-16 08:47:46,015 DEBUG   SenderThread:32784 [sender.py:send_request():402] send_request: summary_record
2023-06-16 08:47:46,015 INFO    SenderThread:32784 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-06-16 08:47:46,015 DEBUG   SenderThread:32784 [sender.py:send():375] send: telemetry
2023-06-16 08:47:46,015 DEBUG   SenderThread:32784 [sender.py:send():375] send: exit
2023-06-16 08:47:46,015 INFO    SenderThread:32784 [sender.py:send_exit():598] handling exit code: 0
2023-06-16 08:47:46,015 INFO    SenderThread:32784 [sender.py:send_exit():600] handling runtime: 0
2023-06-16 08:47:46,015 INFO    SenderThread:32784 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-06-16 08:47:46,015 INFO    SenderThread:32784 [sender.py:send_exit():606] send defer
2023-06-16 08:47:46,015 DEBUG   SenderThread:32784 [sender.py:send_request():402] send_request: poll_exit
2023-06-16 08:47:46,015 DEBUG   HandlerThread:32784 [handler.py:handle_request():144] handle_request: defer
2023-06-16 08:47:46,015 INFO    HandlerThread:32784 [handler.py:handle_request_defer():170] handle defer: 0
2023-06-16 08:47:46,015 DEBUG   SenderThread:32784 [sender.py:send_request():402] send_request: defer
2023-06-16 08:47:46,015 INFO    SenderThread:32784 [sender.py:send_request_defer():622] handle sender defer: 0
2023-06-16 08:47:46,015 INFO    SenderThread:32784 [sender.py:transition_state():626] send defer: 1
2023-06-16 08:47:46,015 DEBUG   HandlerThread:32784 [handler.py:handle_request():144] handle_request: defer
2023-06-16 08:47:46,015 INFO    HandlerThread:32784 [handler.py:handle_request_defer():170] handle defer: 1
2023-06-16 08:47:46,015 DEBUG   SenderThread:32784 [sender.py:send_request():402] send_request: defer
2023-06-16 08:47:46,015 INFO    SenderThread:32784 [sender.py:send_request_defer():622] handle sender defer: 1
2023-06-16 08:47:46,015 INFO    SenderThread:32784 [sender.py:transition_state():626] send defer: 2
2023-06-16 08:47:46,015 DEBUG   HandlerThread:32784 [handler.py:handle_request():144] handle_request: defer
2023-06-16 08:47:46,015 INFO    HandlerThread:32784 [handler.py:handle_request_defer():170] handle defer: 2
2023-06-16 08:47:46,015 INFO    HandlerThread:32784 [system_monitor.py:finish():190] Stopping system monitor
2023-06-16 08:47:46,015 DEBUG   SystemMonitor:32784 [system_monitor.py:_start():159] Starting system metrics aggregation loop
2023-06-16 08:47:46,015 INFO    HandlerThread:32784 [interfaces.py:finish():202] Joined cpu monitor
2023-06-16 08:47:46,031 DEBUG   SystemMonitor:32784 [system_monitor.py:_start():166] Finished system metrics aggregation loop
2023-06-16 08:47:46,031 DEBUG   SystemMonitor:32784 [system_monitor.py:_start():170] Publishing last batch of metrics
2023-06-16 08:47:46,031 INFO    HandlerThread:32784 [interfaces.py:finish():202] Joined disk monitor
2023-06-16 08:47:46,062 INFO    HandlerThread:32784 [interfaces.py:finish():202] Joined gpu monitor
2023-06-16 08:47:46,062 INFO    HandlerThread:32784 [interfaces.py:finish():202] Joined memory monitor
2023-06-16 08:47:46,062 INFO    HandlerThread:32784 [interfaces.py:finish():202] Joined network monitor
2023-06-16 08:47:46,062 DEBUG   SenderThread:32784 [sender.py:send_request():402] send_request: defer
2023-06-16 08:47:46,062 INFO    SenderThread:32784 [sender.py:send_request_defer():622] handle sender defer: 2
2023-06-16 08:47:46,062 INFO    SenderThread:32784 [sender.py:transition_state():626] send defer: 3
2023-06-16 08:47:46,062 DEBUG   SenderThread:32784 [sender.py:send():375] send: stats
2023-06-16 08:47:46,062 DEBUG   HandlerThread:32784 [handler.py:handle_request():144] handle_request: defer
2023-06-16 08:47:46,062 INFO    HandlerThread:32784 [handler.py:handle_request_defer():170] handle defer: 3
2023-06-16 08:47:46,062 DEBUG   SenderThread:32784 [sender.py:send_request():402] send_request: defer
2023-06-16 08:47:46,062 INFO    SenderThread:32784 [sender.py:send_request_defer():622] handle sender defer: 3
2023-06-16 08:47:46,062 INFO    SenderThread:32784 [sender.py:transition_state():626] send defer: 4
2023-06-16 08:47:46,062 DEBUG   HandlerThread:32784 [handler.py:handle_request():144] handle_request: defer
2023-06-16 08:47:46,062 INFO    HandlerThread:32784 [handler.py:handle_request_defer():170] handle defer: 4
2023-06-16 08:47:46,062 DEBUG   SenderThread:32784 [sender.py:send_request():402] send_request: defer
2023-06-16 08:47:46,062 INFO    SenderThread:32784 [sender.py:send_request_defer():622] handle sender defer: 4
2023-06-16 08:47:46,062 INFO    SenderThread:32784 [sender.py:transition_state():626] send defer: 5
2023-06-16 08:47:46,062 DEBUG   HandlerThread:32784 [handler.py:handle_request():144] handle_request: defer
2023-06-16 08:47:46,062 INFO    HandlerThread:32784 [handler.py:handle_request_defer():170] handle defer: 5
2023-06-16 08:47:46,062 DEBUG   SenderThread:32784 [sender.py:send():375] send: summary
2023-06-16 08:47:46,062 INFO    SenderThread:32784 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-06-16 08:47:46,062 DEBUG   SenderThread:32784 [sender.py:send_request():402] send_request: defer
2023-06-16 08:47:46,062 INFO    SenderThread:32784 [sender.py:send_request_defer():622] handle sender defer: 5
2023-06-16 08:47:46,062 INFO    SenderThread:32784 [sender.py:transition_state():626] send defer: 6
2023-06-16 08:47:46,078 DEBUG   HandlerThread:32784 [handler.py:handle_request():144] handle_request: defer
2023-06-16 08:47:46,078 INFO    HandlerThread:32784 [handler.py:handle_request_defer():170] handle defer: 6
2023-06-16 08:47:46,078 DEBUG   SenderThread:32784 [sender.py:send_request():402] send_request: defer
2023-06-16 08:47:46,078 INFO    SenderThread:32784 [sender.py:send_request_defer():622] handle sender defer: 6
2023-06-16 08:47:46,078 DEBUG   HandlerThread:32784 [handler.py:handle_request():144] handle_request: status_report
2023-06-16 08:47:46,156 INFO    Thread-198:32784 [dir_watcher.py:_on_file_modified():295] file/dir modified: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230616_084741-1g55ubon\files\wandb-summary.json
2023-06-16 08:47:46,281 INFO    SenderThread:32784 [sender.py:transition_state():626] send defer: 7
2023-06-16 08:47:46,281 DEBUG   HandlerThread:32784 [handler.py:handle_request():144] handle_request: defer
2023-06-16 08:47:46,281 INFO    HandlerThread:32784 [handler.py:handle_request_defer():170] handle defer: 7
2023-06-16 08:47:46,281 DEBUG   SenderThread:32784 [sender.py:send_request():402] send_request: defer
2023-06-16 08:47:46,281 INFO    SenderThread:32784 [sender.py:send_request_defer():622] handle sender defer: 7
2023-06-16 08:47:47,000 INFO    wandb-upload_0:32784 [upload_job.py:push():137] Uploaded file C:\Users\EMILWC~1\AppData\Local\Temp\tmp85yd_h96wandb\59aa1964-media/table/episode_rewards_table_0_a9d73174909e63fe55fb.table.json
2023-06-16 08:47:47,187 INFO    SenderThread:32784 [sender.py:transition_state():626] send defer: 8
2023-06-16 08:47:47,187 DEBUG   HandlerThread:32784 [handler.py:handle_request():144] handle_request: defer
2023-06-16 08:47:47,187 INFO    HandlerThread:32784 [handler.py:handle_request_defer():170] handle defer: 8
2023-06-16 08:47:47,187 DEBUG   SenderThread:32784 [sender.py:send_request():402] send_request: defer
2023-06-16 08:47:47,187 INFO    SenderThread:32784 [sender.py:send_request_defer():622] handle sender defer: 8
2023-06-16 08:47:47,187 INFO    Thread-198:32784 [dir_watcher.py:_on_file_modified():295] file/dir modified: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230616_084741-1g55ubon\files\output.log
2023-06-16 08:47:47,203 INFO    Thread-198:32784 [dir_watcher.py:_on_file_modified():295] file/dir modified: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230616_084741-1g55ubon\files\config.yaml
2023-06-16 08:47:47,203 INFO    SenderThread:32784 [sender.py:transition_state():626] send defer: 9
2023-06-16 08:47:47,203 DEBUG   HandlerThread:32784 [handler.py:handle_request():144] handle_request: defer
2023-06-16 08:47:47,203 INFO    HandlerThread:32784 [handler.py:handle_request_defer():170] handle defer: 9
2023-06-16 08:47:47,203 DEBUG   SenderThread:32784 [sender.py:send():375] send: artifact
2023-06-16 08:47:48,172 INFO    SenderThread:32784 [sender.py:send_artifact():1474] sent artifact job-https___github.com_AlienLime_RL-SC2-bot.git_.._.._AppData_L..hon310_lib_site-packages_ray__private_workers_default_worker.py - {'id': 'QXJ0aWZhY3Q6NDg5MDExMjk3', 'digest': '82ee6d2dc19f60a30cb40e8a6bc952e9', 'state': 'COMMITTED', 'aliases': [{'artifactCollectionName': 'job-https___github.com_AlienLime_RL-SC2-bot.git_.._.._AppData_L..hon310_lib_site-packages_ray__private_workers_default_worker.py', 'alias': 'latest'}, {'artifactCollectionName': 'job-https___github.com_AlienLime_RL-SC2-bot.git_.._.._AppData_L..hon310_lib_site-packages_ray__private_workers_default_worker.py', 'alias': 'v3'}], 'artifactSequence': {'id': 'QXJ0aWZhY3RDb2xsZWN0aW9uOjc2MzIwMTI0', 'latestArtifact': {'id': 'QXJ0aWZhY3Q6NDg5MDExMjk3', 'versionIndex': 3}}, 'version': 'v3'}
2023-06-16 08:47:48,172 DEBUG   SenderThread:32784 [sender.py:send_request():402] send_request: defer
2023-06-16 08:47:48,172 INFO    SenderThread:32784 [sender.py:send_request_defer():622] handle sender defer: 9
2023-06-16 08:47:48,172 INFO    SenderThread:32784 [dir_watcher.py:finish():365] shutting down directory watcher
2023-06-16 08:47:48,203 INFO    SenderThread:32784 [dir_watcher.py:finish():395] scan: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230616_084741-1g55ubon\files
2023-06-16 08:47:48,203 INFO    SenderThread:32784 [dir_watcher.py:finish():409] scan save: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230616_084741-1g55ubon\files\config.yaml config.yaml
2023-06-16 08:47:48,203 INFO    SenderThread:32784 [dir_watcher.py:finish():409] scan save: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230616_084741-1g55ubon\files\output.log output.log
2023-06-16 08:47:48,203 INFO    SenderThread:32784 [dir_watcher.py:finish():409] scan save: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230616_084741-1g55ubon\files\requirements.txt requirements.txt
2023-06-16 08:47:48,203 INFO    SenderThread:32784 [dir_watcher.py:finish():409] scan save: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230616_084741-1g55ubon\files\wandb-metadata.json wandb-metadata.json
2023-06-16 08:47:48,203 INFO    SenderThread:32784 [dir_watcher.py:finish():409] scan save: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230616_084741-1g55ubon\files\wandb-summary.json wandb-summary.json
2023-06-16 08:47:48,203 INFO    SenderThread:32784 [dir_watcher.py:finish():409] scan save: C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230616_084741-1g55ubon\files\media\table\episode_rewards_table_0_a9d73174909e63fe55fb.table.json media\table\episode_rewards_table_0_a9d73174909e63fe55fb.table.json
2023-06-16 08:47:48,203 INFO    SenderThread:32784 [sender.py:transition_state():626] send defer: 10
2023-06-16 08:47:48,203 DEBUG   HandlerThread:32784 [handler.py:handle_request():144] handle_request: defer
2023-06-16 08:47:48,203 INFO    HandlerThread:32784 [handler.py:handle_request_defer():170] handle defer: 10
2023-06-16 08:47:48,203 DEBUG   SenderThread:32784 [sender.py:send_request():402] send_request: defer
2023-06-16 08:47:48,203 INFO    SenderThread:32784 [sender.py:send_request_defer():622] handle sender defer: 10
2023-06-16 08:47:48,203 INFO    SenderThread:32784 [file_pusher.py:finish():167] shutting down file pusher
2023-06-16 08:47:48,921 INFO    wandb-upload_1:32784 [upload_job.py:push():137] Uploaded file C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230616_084741-1g55ubon\files\output.log
2023-06-16 08:47:49,125 DEBUG   HandlerThread:32784 [handler.py:handle_request():144] handle_request: keepalive
2023-06-16 08:47:49,281 INFO    wandb-upload_0:32784 [upload_job.py:push():137] Uploaded file C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230616_084741-1g55ubon\files\config.yaml
2023-06-16 08:47:49,328 INFO    wandb-upload_3:32784 [upload_job.py:push():137] Uploaded file C:\Users\Emil WC\Bachelor\RL-SC2-bot\wandb\run-20230616_084741-1g55ubon\files\wandb-summary.json
